Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.70466379110045E-05,-0.000100912301995015,-0.0331407173590217,0,0,0,0.163370758295033,0.000114508550909783,-1.98510263322949E-07,-1.3799422699399E-08,0.000115196365963524,5.15106354024472E-08,0.000199930875411694,0,0,0,0,0,0,package://SEA.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://SEA.SLDASM/meshes/base_link.STL,,base_link-1,coor1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.47840845456552E-15,8.37670026046813E-15,0.00497455940720501,0,0,0,0.168285781839828,5.14593860531366E-05,-9.99024975732121E-06,3.34921239797784E-18,5.17987691061029E-05,-1.60666243711124E-17,0.000100418216185041,0,0,0,0,0,0,package://SEA.SLDASM/meshes/link1.STL,0.615686274509804,0.643137254901961,0.674509803921569,1,0,0,0,0,0,0,package://SEA.SLDASM/meshes/link1.STL,,link1-1,coor1,axis1,joint1,continuous,0,0,0,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link2,-3.4294608200376E-17,3.02703587071172E-17,-0.00276504413921744,0,0,0,0.0639107412981245,6.57740764812995E-05,1.74280210323986E-07,-1.97227439377815E-20,6.53801005945334E-05,1.31181285500663E-20,0.000104602735322915,0,0,0,0,0,0,package://SEA.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://SEA.SLDASM/meshes/link2.STL,,link2-1,coor1,axis1,joint2,continuous,0,0,0,0,0,0,link1,0,0,-1,,,,,,,,,,,,
link3,-8.25097574397608E-08,-0.0793934489643136,-0.0125812218525317,0,0,0,0.130450882195548,0.00063782691618773,3.78367440077671E-10,-2.55222125757387E-10,7.13352249411973E-05,3.81653637000276E-07,0.000704346251138815,0,0,0,0,0,0,package://SEA.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://SEA.SLDASM/meshes/link3.STL,,link3-1,coor1,axis1,joint3,continuous,0,0,0,0,0,0,link2,0,0,-1,,,,,,,,,,,,
